food_id,state,food_class,food_name,portion_size_g,calories,protein_g,carbs_g,fat_g,is_veg,cooking_method,image_path
1,Telangana,biryani,chicken_biryani,222,429.1,15.45,59.66,17.37,nonveg,fried,images/chicken_biryani_1.jpg
2,Maharashtra,snack,samosa,62,156.0,3.07,20.01,8.02,veg,fried,images/samosa_2.jpg
3,Tamil Nadu,dosa,masala_dosa,180,321.72,7.36,55.05,10.29,veg,fried,images/masala_dosa_3.jpg
4,Punjab,curry,paneer_butter_masala,254,600.37,18.81,24.71,42.34,veg,gravy,images/paneer_butter_masala_4.jpg
5,West Bengal,sweet,rasgulla,148,247.55,5.68,52.64,2.74,veg,syrup,images/rasgulla_5.jpg
7,Maharashtra,snack,samosa,54,141.1,2.66,15.37,7.42,veg,fried,images/samosa_7.jpg
8,West Bengal,sweet,rasgulla,140,261.04,5.92,46.93,2.96,veg,syrup,images/rasgulla_8.jpg
9,Maharashtra,snack,samosa,130,311.71,6.59,37.66,18.92,veg,fried,images/samosa_9.jpg
10,Maharashtra,snack,samosa,69,167.21,3.48,21.5,10.05,veg,fried,images/samosa_10.jpg
11,West Bengal,sweet,rasgulla,94,160.95,3.7,33.1,1.73,veg,syrup,images/rasgulla_11.jpg
12,Punjab,curry,paneer_butter_masala,210,448.97,17.68,21.72,35.12,veg,gravy,images/paneer_butter_masala_12.jpg
13,West Bengal,sweet,rasgulla,171,293.43,6.46,62.83,3.63,veg,syrup,images/rasgulla_13.jpg
14,Punjab,curry,paneer_butter_masala,244,519.56,20.88,23.12,42.19,veg,gravy,images/paneer_butter_masala_14.jpg
15,Odisha,dal,dalma,235,289.09,12.25,42.08,6.89,veg,boiled,images/dalma_15.jpg
16,Maharashtra,snack,samosa,69,176.24,3.36,21.1,9.3,veg,fried,images/samosa_16.jpg
20,Odisha,dal,dalma,238,304.01,11.45,43.8,7.29,veg,boiled,images/dalma_20.jpg
22,Punjab,curry,butter_chicken,224,567.87,35.31,14.01,42.67,nonveg,gravy,images/butter_chicken_22.jpg
23,Punjab,curry,butter_chicken,235,595.95,35.94,13.76,44.26,nonveg,gravy,images/butter_chicken_23.jpg
24,Odisha,rice,pakhala,155,148.07,3.08,33.44,0.74,veg,fermented,images/pakhala_24.jpg
26,Odisha,rice,pakhala,289,253.95,6.16,54.69,1.55,veg,fermented,images/pakhala_26.jpg
28,Odisha,rice,pakhala,214,177.22,4.34,41.14,1.12,veg,fermented,images/pakhala_28.jpg
29,Tamil Nadu,idli,idli,179,195.28,5.45,39.37,1.72,veg,steamed,images/idli_29.jpg
30,Tamil Nadu,dosa,masala_dosa,209,352.87,8.22,63.92,12.12,veg,fried,images/masala_dosa_30.jpg
31,Punjab,curry,butter_chicken,199,483.31,29.91,12.7,35.43,nonveg,gravy,images/butter_chicken_31.jpg
35,Maharashtra,snack,samosa,126,342.98,6.73,37.67,18.09,veg,fried,images/samosa_35.jpg
36,Punjab,curry,butter_chicken,274,700.0,43.69,16.85,46.94,nonveg,gravy,images/butter_chicken_36.jpg
37,West Bengal,sweet,rasgulla,186,313.78,7.05,69.15,3.53,veg,syrup,images/rasgulla_37.jpg
38,Punjab,curry,butter_chicken,188,459.67,27.36,10.44,35.34,nonveg,gravy,images/butter_chicken_38.jpg
39,Odisha,dal,dalma,104,123.13,4.92,17.78,2.92,veg,boiled,images/dalma_39.jpg
40,West Bengal,sweet,rasgulla,91,159.01,3.67,30.78,1.93,veg,syrup,images/rasgulla_40.jpg
41,Odisha,rice,pakhala,234,203.93,4.52,47.23,1.24,veg,fermented,images/pakhala_41.jpg
42,West Bengal,sweet,rasgulla,173,334.83,6.5,57.51,3.57,veg,syrup,images/rasgulla_42.jpg
43,Punjab,curry,paneer_butter_masala,297,666.74,22.51,31.01,55.51,veg,gravy,images/paneer_butter_masala_43.jpg
45,Maharashtra,snack,samosa,147,383.59,6.9,43.83,21.48,veg,fried,images/samosa_45.jpg
48,Odisha,sweet,chhena_poda,150,450.88,12.55,56.99,18.17,veg,baked,images/chhena_poda_48.jpg
49,Punjab,curry,butter_chicken,219,551.94,34.15,13.27,39.25,nonveg,gravy,images/butter_chicken_49.jpg
50,Punjab,curry,paneer_butter_masala,257,602.47,21.83,24.67,49.15,veg,gravy,images/paneer_butter_masala_50.jpg
51,West Bengal,sweet,rasgulla,104,188.24,4.31,36.6,2.16,veg,syrup,images/rasgulla_51.jpg
52,Odisha,dal,dalma,155,196.79,7.33,27.36,4.58,veg,boiled,images/dalma_52.jpg
54,Maharashtra,snack,samosa,150,378.65,7.95,42.3,20.43,veg,fried,images/samosa_54.jpg
55,Odisha,rice,pakhala,295,265.64,6.23,60.06,1.43,veg,fermented,images/pakhala_55.jpg
57,West Bengal,sweet,rasgulla,113,211.22,4.38,37.63,2.43,veg,syrup,images/rasgulla_57.jpg
59,Maharashtra,snack,samosa,94,231.97,4.75,29.87,12.63,veg,fried,images/samosa_59.jpg
60,Telangana,biryani,chicken_biryani,270,496.04,19.33,66.5,22.1,nonveg,fried,images/chicken_biryani_60.jpg
61,Punjab,curry,butter_chicken,156,365.24,24.88,9.08,26.9,nonveg,gravy,images/butter_chicken_61.jpg
62,Odisha,rice,pakhala,291,256.75,5.58,59.97,1.43,veg,fermented,images/pakhala_62.jpg
65,Odisha,dal,dalma,209,257.74,10.98,40.53,6.02,veg,boiled,images/dalma_65.jpg
66,Odisha,rice,pakhala,186,176.4,3.69,35.36,0.86,veg,fermented,images/pakhala_66.jpg
67,Tamil Nadu,idli,idli,160,172.84,4.45,34.77,1.71,veg,steamed,images/idli_67.jpg
71,Tamil Nadu,idli,idli,101,118.28,2.93,20.79,1.04,veg,steamed,images/idli_71.jpg
72,West Bengal,sweet,rasgulla,54,100.66,2.25,20.03,1.1,veg,syrup,images/rasgulla_72.jpg
73,West Bengal,sweet,rasgulla,62,120.12,2.48,20.37,1.2,veg,syrup,images/rasgulla_73.jpg
74,Maharashtra,snack,samosa,125,303.93,6.61,35.95,18.86,veg,fried,images/samosa_74.jpg
75,Punjab,curry,butter_chicken,248,591.02,38.26,14.06,41.94,nonveg,gravy,images/butter_chicken_75.jpg
76,Odisha,rice,pakhala,193,168.48,3.72,39.14,1.02,veg,fermented,images/pakhala_76.jpg
77,Odisha,rice,pakhala,261,229.68,5.63,48.07,1.2,veg,fermented,images/pakhala_77.jpg
78,Punjab,curry,butter_chicken,156,402.07,22.45,9.81,26.86,nonveg,gravy,images/butter_chicken_78.jpg
79,Punjab,curry,butter_chicken,196,471.6,28.06,11.79,35.61,nonveg,gravy,images/butter_chicken_79.jpg
80,Punjab,curry,paneer_butter_masala,227,484.55,18.45,22.88,40.36,veg,gravy,images/paneer_butter_masala_80.jpg
81,West Bengal,sweet,rasgulla,142,243.54,6.07,53.27,2.69,veg,syrup,images/rasgulla_81.jpg
82,Telangana,biryani,chicken_biryani,407,787.71,27.96,99.07,34.98,nonveg,fried,images/chicken_biryani_82.jpg
83,Maharashtra,snack,samosa,54,144.72,2.52,17.16,7.52,veg,fried,images/samosa_83.jpg
84,Odisha,rice,pakhala,167,150.81,3.43,34.16,0.84,veg,fermented,images/pakhala_84.jpg
85,West Bengal,sweet,rasgulla,169,298.21,7.29,56.16,3.54,veg,syrup,images/rasgulla_85.jpg
87,West Bengal,sweet,rasgulla,128,226.06,5.52,44.85,2.46,veg,syrup,images/rasgulla_87.jpg
88,Odisha,sweet,chhena_poda,115,349.2,8.81,47.5,14.37,veg,baked,images/chhena_poda_88.jpg
90,West Bengal,sweet,rasgulla,156,263.33,6.64,55.82,3.2,veg,syrup,images/rasgulla_90.jpg
93,Tamil Nadu,dosa,masala_dosa,231,396.64,9.13,67.79,14.36,veg,fried,images/masala_dosa_93.jpg
94,West Bengal,sweet,rasgulla,162,314.66,6.07,57.12,3.32,veg,syrup,images/rasgulla_94.jpg
97,Tamil Nadu,idli,idli,82,88.38,2.38,17.14,0.78,veg,steamed,images/idli_97.jpg
99,Maharashtra,snack,samosa,65,157.15,3.13,19.74,8.7,veg,fried,images/samosa_99.jpg
100,Odisha,dal,dalma,212,235.46,10.68,37.62,6.63,veg,boiled,images/dalma_100.jpg
102,Odisha,dal,dalma,219,262.35,11.48,40.79,6.55,veg,boiled,images/dalma_102.jpg
103,Odisha,sweet,chhena_poda,91,291.83,7.19,36.67,10.12,veg,baked,images/chhena_poda_103.jpg
104,Odisha,dal,dalma,239,288.81,11.21,45.01,7.56,veg,boiled,images/dalma_104.jpg
105,Punjab,curry,butter_chicken,158,378.57,25.29,9.72,30.07,nonveg,gravy,images/butter_chicken_105.jpg
107,West Bengal,sweet,rasgulla,175,335.74,6.85,58.75,3.46,veg,syrup,images/rasgulla_107.jpg
109,Tamil Nadu,idli,idli,192,207.72,5.56,45.04,2.07,veg,steamed,images/idli_109.jpg
110,West Bengal,sweet,rasgulla,69,131.2,2.7,22.84,1.29,veg,syrup,images/rasgulla_110.jpg
112,West Bengal,sweet,rasgulla,138,236.3,5.8,50.1,2.55,veg,syrup,images/rasgulla_112.jpg
113,Maharashtra,snack,samosa,90,251.89,4.22,26.61,11.79,veg,fried,images/samosa_113.jpg
116,Punjab,curry,butter_chicken,192,492.0,29.8,11.25,34.82,nonveg,gravy,images/butter_chicken_116.jpg
118,West Bengal,sweet,rasgulla,145,266.69,5.86,49.34,2.79,veg,syrup,images/rasgulla_118.jpg
119,Maharashtra,snack,samosa,68,168.27,3.63,19.44,9.64,veg,fried,images/samosa_119.jpg
120,Telangana,biryani,chicken_biryani,237,459.38,15.68,60.8,18.62,nonveg,fried,images/chicken_biryani_120.jpg
121,Odisha,rice,pakhala,219,207.63,4.33,43.89,1.16,veg,fermented,images/pakhala_121.jpg
122,Maharashtra,snack,samosa,119,329.08,6.4,37.87,17.6,veg,fried,images/samosa_122.jpg
123,Maharashtra,snack,samosa,60,157.32,2.85,18.73,8.79,veg,fried,images/samosa_123.jpg
124,West Bengal,sweet,rasgulla,109,204.4,4.53,39.61,2.32,veg,syrup,images/rasgulla_124.jpg
125,West Bengal,sweet,rasgulla,119,227.28,4.94,43.97,2.48,veg,syrup,images/rasgulla_125.jpg
126,West Bengal,sweet,rasgulla,173,287.0,6.84,61.4,3.27,veg,syrup,images/rasgulla_126.jpg
127,Maharashtra,snack,samosa,133,318.52,6.59,41.02,18.73,veg,fried,images/samosa_127.jpg
128,Odisha,rice,pakhala,278,250.47,5.67,56.0,1.34,veg,fermented,images/pakhala_128.jpg
129,Punjab,curry,paneer_butter_masala,190,420.66,16.26,20.28,33.98,veg,gravy,images/paneer_butter_masala_129.jpg
130,West Bengal,sweet,rasgulla,189,347.41,7.21,71.13,3.53,veg,syrup,images/rasgulla_130.jpg
131,Maharashtra,snack,samosa,72,194.84,3.71,20.31,10.62,veg,fried,images/samosa_131.jpg
132,Maharashtra,snack,samosa,61,154.83,3.25,17.09,9.14,veg,fried,images/samosa_132.jpg
133,Maharashtra,snack,samosa,129,329.16,6.65,40.55,19.08,veg,fried,images/samosa_133.jpg
134,Odisha,rice,pakhala,184,158.71,3.76,36.19,0.99,veg,fermented,images/pakhala_134.jpg
135,West Bengal,sweet,rasgulla,126,214.93,5.44,46.06,2.38,veg,syrup,images/rasgulla_135.jpg
136,Maharashtra,snack,samosa,72,199.49,3.37,20.93,9.4,veg,fried,images/samosa_136.jpg
139,Punjab,curry,butter_chicken,158,360.2,22.31,8.8,28.19,nonveg,gravy,images/butter_chicken_139.jpg
140,Punjab,curry,paneer_butter_masala,191,414.41,16.1,17.9,34.83,veg,gravy,images/paneer_butter_masala_140.jpg
141,West Bengal,sweet,rasgulla,180,305.27,7.23,60.87,3.7,veg,syrup,images/rasgulla_141.jpg
142,Maharashtra,snack,samosa,133,363.29,6.63,42.13,19.17,veg,fried,images/samosa_142.jpg
145,West Bengal,sweet,rasgulla,87,156.83,3.7,28.67,1.83,veg,syrup,images/rasgulla_145.jpg
146,Odisha,dal,dalma,198,218.82,10.41,35.95,6.4,veg,boiled,images/dalma_146.jpg
147,Maharashtra,snack,samosa,116,295.33,5.56,34.14,15.41,veg,fried,images/samosa_147.jpg
149,Odisha,dal,dalma,103,130.05,5.03,19.86,2.9,veg,boiled,images/dalma_149.jpg
150,Maharashtra,snack,samosa,91,253.47,4.19,29.17,13.2,veg,fried,images/samosa_150.jpg
151,West Bengal,sweet,rasgulla,159,281.55,6.32,58.22,3.06,veg,syrup,images/rasgulla_151.jpg
152,Tamil Nadu,idli,idli,163,180.42,4.91,36.06,1.53,veg,steamed,images/idli_152.jpg
153,Punjab,curry,paneer_butter_masala,187,407.96,14.97,18.74,31.83,veg,gravy,images/paneer_butter_masala_153.jpg
154,Odisha,dal,dalma,143,165.37,7.23,23.77,4.62,veg,boiled,images/dalma_154.jpg
156,Odisha,rice,pakhala,174,162.68,3.22,37.35,0.9,veg,fermented,images/pakhala_156.jpg
157,West Bengal,sweet,rasgulla,52,97.28,2.13,18.38,0.98,veg,syrup,images/rasgulla_157.jpg
159,Telangana,biryani,veg_biryani,263,424.37,12.44,73.87,12.6,veg,fried,images/veg_biryani_159.jpg
161,Odisha,rice,pakhala,252,211.18,4.64,47.12,1.3,veg,fermented,images/pakhala_161.jpg
162,Odisha,dal,dalma,115,140.81,5.75,19.72,3.27,veg,boiled,images/dalma_162.jpg
163,Punjab,curry,paneer_butter_masala,210,457.27,16.11,21.52,39.36,veg,gravy,images/paneer_butter_masala_163.jpg
164,West Bengal,sweet,rasgulla,191,317.14,8.11,64.44,3.67,veg,syrup,images/rasgulla_164.jpg
165,West Bengal,sweet,rasgulla,72,129.58,2.87,27.09,1.46,veg,syrup,images/rasgulla_165.jpg
166,Maharashtra,snack,samosa,130,318.9,6.48,40.69,18.08,veg,fried,images/samosa_166.jpg
167,Odisha,dal,dalma,169,200.99,9.12,28.51,5.27,veg,boiled,images/dalma_167.jpg
168,Tamil Nadu,dosa,masala_dosa,128,221.64,4.76,39.35,7.09,veg,fried,images/masala_dosa_168.jpg
169,Odisha,rice,pakhala,209,177.76,4.13,44.03,1.06,veg,fermented,images/pakhala_169.jpg
171,West Bengal,sweet,rasgulla,175,303.05,6.57,65.62,3.53,veg,syrup,images/rasgulla_171.jpg
172,Telangana,biryani,veg_biryani,284,434.95,13.95,73.47,14.72,veg,fried,images/veg_biryani_172.jpg
173,Punjab,curry,butter_chicken,235,603.27,36.88,13.61,45.63,nonveg,gravy,images/butter_chicken_173.jpg
175,Odisha,sweet,chhena_poda,96,317.8,7.59,39.94,11.14,veg,baked,images/chhena_poda_175.jpg
176,West Bengal,sweet,rasgulla,199,371.54,8.42,73.42,4.3,veg,syrup,images/rasgulla_176.jpg
177,Maharashtra,snack,samosa,81,203.88,3.93,22.53,12.25,veg,fried,images/samosa_177.jpg
178,West Bengal,sweet,rasgulla,121,232.97,4.96,44.66,2.4,veg,syrup,images/rasgulla_178.jpg
179,West Bengal,sweet,rasgulla,54,101.92,2.25,18.42,1.0,veg,syrup,images/rasgulla_179.jpg
181,Punjab,curry,butter_chicken,150,350.52,22.14,8.96,28.85,nonveg,gravy,images/butter_chicken_181.jpg
183,Tamil Nadu,dosa,masala_dosa,239,429.98,10.13,75.67,14.43,veg,fried,images/masala_dosa_183.jpg
184,Punjab,curry,butter_chicken,177,439.11,24.57,10.04,30.57,nonveg,gravy,images/butter_chicken_184.jpg
185,Maharashtra,snack,samosa,97,236.27,4.9,29.83,14.59,veg,fried,images/samosa_185.jpg
186,Tamil Nadu,idli,idli,187,198.34,5.92,39.0,1.87,veg,steamed,images/idli_186.jpg
187,West Bengal,sweet,rasgulla,102,194.94,4.22,33.51,2.19,veg,syrup,images/rasgulla_187.jpg
188,West Bengal,sweet,rasgulla,114,197.27,4.44,40.45,2.38,veg,syrup,images/rasgulla_188.jpg
189,Maharashtra,snack,samosa,118,306.85,5.78,34.95,17.14,veg,fried,images/samosa_189.jpg
194,West Bengal,sweet,rasgulla,104,192.67,4.16,38.35,2.0,veg,syrup,images/rasgulla_194.jpg
195,West Bengal,sweet,rasgulla,124,224.48,5.1,45.33,2.51,veg,syrup,images/rasgulla_195.jpg
196,Maharashtra,snack,samosa,139,341.38,6.41,38.53,20.44,veg,fried,images/samosa_196.jpg
197,Tamil Nadu,idli,idli,124,130.76,3.52,27.22,1.21,veg,steamed,images/idli_197.jpg
198,Maharashtra,snack,samosa,99,276.05,5.09,29.07,14.67,veg,fried,images/samosa_198.jpg
199,West Bengal,sweet,rasgulla,198,336.94,7.64,71.98,3.73,veg,syrup,images/rasgulla_199.jpg
200,Maharashtra,snack,samosa,125,300.23,6.4,37.46,17.54,veg,fried,images/samosa_200.jpg
201,Tamil Nadu,dosa,masala_dosa,137,238.21,5.35,38.51,8.69,veg,fried,images/masala_dosa_201.jpg
202,Tamil Nadu,dosa,masala_dosa,250,426.16,10.38,70.02,13.99,veg,fried,images/masala_dosa_202.jpg
204,Punjab,curry,paneer_butter_masala,228,517.98,17.89,23.17,39.78,veg,gravy,images/paneer_butter_masala_204.jpg
205,Odisha,rice,pakhala,289,240.69,6.03,57.19,1.4,veg,fermented,images/pakhala_205.jpg
206,Maharashtra,snack,samosa,125,338.69,5.95,36.26,16.4,veg,fried,images/samosa_206.jpg
207,West Bengal,sweet,rasgulla,101,167.62,4.22,34.01,1.86,veg,syrup,images/rasgulla_207.jpg
208,West Bengal,sweet,rasgulla,189,362.71,7.92,68.36,3.77,veg,syrup,images/rasgulla_208.jpg
209,Odisha,dal,dalma,168,210.28,8.15,29.36,4.88,veg,boiled,images/dalma_209.jpg
210,Maharashtra,snack,samosa,126,331.09,6.31,35.3,19.0,veg,fried,images/samosa_210.jpg
211,West Bengal,sweet,rasgulla,197,338.94,8.25,66.23,3.8,veg,syrup,images/rasgulla_211.jpg
212,Punjab,curry,paneer_butter_masala,252,591.1,18.66,26.76,47.04,veg,gravy,images/paneer_butter_masala_212.jpg
213,West Bengal,sweet,rasgulla,148,245.67,6.23,51.88,3.15,veg,syrup,images/rasgulla_213.jpg
214,West Bengal,sweet,rasgulla,164,275.47,7.06,58.36,3.38,veg,syrup,images/rasgulla_214.jpg
215,Punjab,curry,butter_chicken,288,712.57,45.08,17.15,49.84,nonveg,gravy,images/butter_chicken_215.jpg
217,Maharashtra,snack,samosa,55,143.62,2.82,15.43,7.97,veg,fried,images/samosa_217.jpg
218,Maharashtra,snack,samosa,101,276.81,4.9,30.89,13.66,veg,fried,images/samosa_218.jpg
221,Telangana,biryani,chicken_biryani,368,703.75,25.92,85.49,31.66,nonveg,fried,images/chicken_biryani_221.jpg
223,Tamil Nadu,idli,idli,195,211.69,6.07,43.73,1.97,veg,steamed,images/idli_223.jpg
224,Odisha,sweet,chhena_poda,193,570.09,16.3,74.38,23.32,veg,baked,images/chhena_poda_224.jpg
225,West Bengal,sweet,rasgulla,126,232.49,4.85,41.1,2.37,veg,syrup,images/rasgulla_225.jpg
226,Maharashtra,snack,samosa,113,273.48,5.78,33.14,16.5,veg,fried,images/samosa_226.jpg
229,Maharashtra,snack,samosa,95,234.75,4.4,29.32,13.02,veg,fried,images/samosa_229.jpg
231,Tamil Nadu,idli,idli,137,143.36,4.02,30.08,1.33,veg,steamed,images/idli_231.jpg
232,Tamil Nadu,idli,idli,102,113.22,2.88,21.79,0.95,veg,steamed,images/idli_232.jpg
233,Tamil Nadu,idli,idli,178,196.57,5.43,38.25,1.72,veg,steamed,images/idli_233.jpg
234,Maharashtra,snack,samosa,148,365.2,7.92,44.01,21.77,veg,fried,images/samosa_234.jpg
235,West Bengal,sweet,rasgulla,159,295.11,5.92,52.55,3.14,veg,syrup,images/rasgulla_235.jpg
236,West Bengal,sweet,rasgulla,121,229.1,4.72,43.41,2.32,veg,syrup,images/rasgulla_236.jpg
237,Maharashtra,snack,samosa,72,186.1,3.87,23.16,9.43,veg,fried,images/samosa_237.jpg
238,West Bengal,sweet,rasgulla,58,103.46,2.18,19.01,1.13,veg,syrup,images/rasgulla_238.jpg
239,Odisha,rice,pakhala,174,154.5,3.25,32.88,0.94,veg,fermented,images/pakhala_239.jpg
240,Telangana,biryani,chicken_biryani,324,581.64,23.48,75.09,24.96,nonveg,fried,images/chicken_biryani_240.jpg
241,Odisha,dal,dalma,239,294.54,11.1,46.22,7.31,veg,boiled,images/dalma_241.jpg
242,Punjab,curry,butter_chicken,261,626.06,40.57,14.55,46.12,nonveg,gravy,images/butter_chicken_242.jpg
243,West Bengal,sweet,rasgulla,200,384.13,7.43,70.81,4.01,veg,syrup,images/rasgulla_243.jpg
244,West Bengal,sweet,rasgulla,191,348.98,7.77,64.44,3.89,veg,syrup,images/rasgulla_244.jpg
245,West Bengal,sweet,rasgulla,71,125.46,2.98,24.98,1.46,veg,syrup,images/rasgulla_245.jpg
246,Odisha,dal,dalma,112,127.4,5.23,19.41,3.32,veg,boiled,images/dalma_246.jpg
247,Punjab,curry,butter_chicken,186,444.8,29.91,11.23,31.7,nonveg,gravy,images/butter_chicken_247.jpg
248,Tamil Nadu,idli,idli,106,125.21,2.99,22.43,0.98,veg,steamed,images/idli_248.jpg
249,Punjab,curry,paneer_butter_masala,173,375.28,14.41,18.0,32.47,veg,gravy,images/paneer_butter_masala_249.jpg
250,Odisha,dal,dalma,107,120.68,5.58,17.97,3.04,veg,boiled,images/dalma_250.jpg
251,West Bengal,sweet,rasgulla,73,129.71,2.92,24.97,1.57,veg,syrup,images/rasgulla_251.jpg
252,Telangana,biryani,chicken_biryani,209,393.61,14.47,48.82,17.8,nonveg,fried,images/chicken_biryani_252.jpg
253,Tamil Nadu,dosa,masala_dosa,131,234.15,5.17,38.85,8.03,veg,fried,images/masala_dosa_253.jpg
254,Odisha,rice,pakhala,167,141.93,3.18,33.66,0.86,veg,fermented,images/pakhala_254.jpg
255,Punjab,curry,paneer_butter_masala,237,539.84,17.65,25.05,43.58,veg,gravy,images/paneer_butter_masala_255.jpg
